"Source:","C:\Projects\Pixels-dice\Electrical\Dice\D6\D6v3\Main.kicad_sch"
"Date:","7/26/2022 10:32:05 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"2","6","C1, C4, C9, C15, C16, C18","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"3","2","C2, C5","8pF 10V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM1555C2A8R0DA01D","SMD-C001"
"4","3","C3, C10, C23","0.1uF 10V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R61H104KE19D","SMD-C005"
"5","3","C6, C21, C22","10nF 25V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Yageo","AC0402KPX7R9BB103","SMD-C009"
"6","1","C7","100pF NP0 10V 5%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Kemet","C0402C101J5GAC7411","SMD-C003"
"7","1","C8","0.8pF 10V 5% NP0","Device:C","Pixels-dice:0402_RF","~","YES","Murata","GCM1555C1HR80BA16D","SMD-C004"
"8","1","C11","1.8pF 10V 5% NP0","Device:C","Pixels-dice:0402_RF","~","YES","Murata","GCM1555C1H1R8BA16D","SMD-C004"
"9","1","C13","4.7uF 25V 20%","Device:C","Capacitor_SMD:C_0603_1608Metric","~","YES","Murata","GRM188R61E475KE11D","SMD-C010"
"10","1","C17","22pF 10V 5%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Yageo","CC0402JRNPO9BN220","SMD-C007"
"11","1","C19","33nF 50V 5% NP0","Device:C","Capacitor_SMD:C_1206_3216Metric","~","YES","Murata","GRM3195C1H333JA01J","SMD-C011"
"12","1","D1","BAV99S","Pixels-dice:BAV99S-diode","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","YES","Nexperia","BAV99S,115","SMD-D001"
"13","6","D2, D3, D4, D5, D6, D7","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"14","1","J1","Conn_01x14","Connector_Generic:Conn_01x14","Pixels-dice:FPC_14","~","N/A","","",""
"15","1","J2","Conn_01x11","Connector_Generic:Conn_01x11","Pixels-dice:FPC-POGO-11","~","N/A","","",""
"16","1","J3","Conn_01x02","Connector_Generic:Conn_01x02","Pixels-dice:Hongjie 10100 Connector","~","N/A","","",""
"17","1","L1","10uH 100mA 10%","Device:L","Inductor_SMD:L_0805_2012Metric","~","YES","Taiyo Yuden","LBR2012T100K","SMD-L001"
"18","1","L2","15nH 100mA 5%","Device:L","Inductor_SMD:L_0402_1005Metric","~","YES","Taiyo Yuden","HK100515NJ-T","SMD-L002"
"19","1","L3","4.7nH 5%","Device:L","Pixels-dice:0402_RF","~","YES","Murata","LQG15HN4N7S02D",""
"20","1","L4","2.2uH 20mA 10%","Device:L","Inductor_SMD:L_0805_2012Metric","~","YES","Bourns","CV201210-2R2K","SMD-L004"
"21","1","L5","3.9nH 5%","Device:L","Pixels-dice:0402_RF","~","YES","Murata","LQG15HS3N9B02D",""
"22","1","P5","COILA","Connector_Generic:Conn_01x01","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~","N/A","","",""
"23","1","P6","COILB","Connector_Generic:Conn_01x01","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~","N/A","","",""
"24","3","R1, R7, R13","4.02M 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW04024M02FKED","SMD-R003"
"25","3","R2, R8, R14","10M 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-0710ML","SMD-R004"
"26","1","R3","10k 5%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402JR-0710KL","SMD-R002"
"27","1","R4","402k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-07402KL","SMD-R001"
"28","2","R5, R10","100k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW0402100KFKEDC","SMD-R006"
"29","1","R6","22k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-0722KL","SMD-R002"
"30","1","R9","120k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW0402120KFKEDC",""
"31","2","R12, R16","2.7k 5%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402JR-072K7L","SMD-R021"
